Horários de Missa — Arquidiocese de Natal,,,,,,,,,,,
Fonte: documento oficial da Arquidiocese de Natal | Matrizes + Capelas + Confissão | Gerado automaticamente,,,,,,,,,,,
,,,,,,,,,,,
Paróquia,Bairro,Município,Vicariato,Zonal,Horários,Obs,Endereço,Telefone,Email,Tag,Confissão
Paróquia de Nossa Senhora da Conceição,Centro,Canguaretama,Vicariato Sul 1,13º Zonal,"Ter, Qua, Qui: 19:00 | Dom: 07:00 | Dom: 19:00",,"Praça Augusto Severo, 198, Centro - 59190-000, Canguaretama/RN",(84) 99219-7918,pnsccangaretama@gmail.com,Matriz,
São José,,Canguaretama,Vicariato Sul 1,13º Zonal,Qua: 17:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Nossa Senhora das Candeias,,Canguaretama,Vicariato Sul 1,13º Zonal,Dom: 08:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Chama de Amor,,Canguaretama,Vicariato Sul 1,13º Zonal,Dom: 10:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Piriqui,,Canguaretama,Vicariato Sul 1,13º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Barra de Cunhaú,,Canguaretama,Vicariato Sul 1,13º Zonal,Sáb: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Nossa Senhora do Desterro,,Canguaretama,Vicariato Sul 1,13º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Paróquia de Nossa Senhora da Piedade,Centro,Espírito Santo,Vicariato Sul 1,13º Zonal,Dom: 07:30 | Dom: 19:00 ,"1ª Sexta-feira do mês, 8h","Rua da Matriz, 49, Centro - 59180-000, Espírito Santo/RN",,vozdapiedade2020@gmail.com,Matriz,
Paróquia de Nossa Senhora dos Prazeres,Centro,Goianinha,Vicariato Sul 1,13º Zonal,Dom: 08:00 | Dom: 19:00,"Toda 1ª sexta-feira do mês, 8h.","Rua Vigário Antônio Montenegro, 20, Centro - 59173-000, Goianinha/RN",(84) 99223-9573,pnspgoianinha@gmail.com,Matriz,
Paróquia de Santo Antônio de Lisboa,Centro,Tibau do Sul,Vicariato Sul 1,13º Zonal,Qua: 19:30 | Dom: 19:30,"Quarta-feira, 19h30 — missa do pão de Santo Antônio.","Rua Dr. Hélio Galvão, 100, Centro - 59178-000, Tibau do Sul/RN",(84) 3246-4040 / 99827-1666,paroquiadetibaudosul@gmail.com,Matriz,
São Sebastião,,Tibau do Sul,Vicariato Sul 1,13º Zonal,Dom: 17:30 | Qui: 19:30,,,,,Pertence a matriz de Paróquia de Santo Antônio de Lisboa,
São Francisco de Assis (Cabeceiras),,Tibau do Sul,Vicariato Sul 1,13º Zonal,Sáb: 17:00,,,,,Pertence a matriz de Paróquia de Santo Antônio de Lisboa,
Nossa Senhora das Dores,,Tibau do Sul,Vicariato Sul 1,13º Zonal,Sáb: 18:00,,,,,Pertence a matriz de Paróquia de Santo Antônio de Lisboa,
Nossa Senhora Aparecida,,Tibau do Sul,Vicariato Sul 1,13º Zonal,Sáb: 19:30,,,,,Pertence a matriz de Paróquia de Santo Antônio de Lisboa,
São Francisco de Assis (Sibaúma),,Tibau do Sul,Vicariato Sul 1,13º Zonal,Dom: 08:30,,,,,Pertence a matriz de Paróquia de Santo Antônio de Lisboa,
Paróquia de São Francisco de Assis,Centro,Pedro Velho,Vicariato Sul 1,13º Zonal,"Ter, Qui: 18:30 | Sáb: 07:00 | Dom: 07:30 | Dom: 19:00","1ª Sexta-feira do mês, 19h","Praça São Francisco, 04, Centro - 59196-000, Pedro Velho/RN",(84) 98118-9110,,Matriz,
Paróquia de São Pedro Pescador,Centro,Baía Formosa,Vicariato Sul 1,13º Zonal,"Dom: 08:00 | Dom: 19:00 | Seg, Qua, Sex: 19:00",,"Rua João Cavalcante Filho, s/n, Centro - 59194-000, Baía Formosa/RN",(84) 3244-2202,paroquiasaopedropescadorbf@gmail.com,Matriz,
Nossa Senhora da Conceição,,Baía Formosa,Vicariato Sul 1,13º Zonal,Sáb: 07:00,,,,,Pertence a matriz de Paróquia de São Pedro Pescador,
Paróquia de São João Batista,Centro,Arez,Vicariato Sul 1,18º Zonal,Dom: 07:30 | Dom: 19:00,,"Praça Getúlio Vargas, 04, Centro - 59170-000, Arez/RN",,,Matriz,
Paróquia de Sant'Ana e São Joaquim,Centro,São José de Mipibu,Vicariato Sul 1,18º Zonal,"Ter, Qua, Sex, Sáb: 07:00 | Qui: 19:00 | Dom: 07:00 | Dom: 10:00 | Dom: 19:00",,"Rua Côn. Lustosa, s/n, Centro - 59162-000, São José de Mipibu/RN",(84) 2060-0210 / 99184-1258,,Matriz,
Paróquia do Divino Espírito Santo,Centro,Vera Cruz,Vicariato Sul 1,18º Zonal,"Ter, Qua, Qui, Sex: 06:00 | Dom: 07:00 | Dom: 19:00",,"Praça do Divino Espírito Santo, 95, Centro - 59184-000, Vera Cruz/RN",,,Matriz,
Paróquia de Nossa Senhora do Ó,Centro,Nísia Floresta,Vicariato Sul 1,18º Zonal,Qui: 19:00 | Dom: 07:00 | Dom: 19:00,"1ª Sexta-feira do mês, 17h","Praça Cel. José Araújo, 81, Centro - 59164-000, Nísia Floresta/RN",(84) 98751-1693,,Matriz,
Paróquia de Nossa Senhora da Penha,Centro,Monte Alegre,Vicariato Sul 1,18º Zonal,Dom: 08:00 | Dom: 19:00 | Qui: 19:00,,"Rua Juvenal Lamartine, s/n, Centro - 59182-000, Monte Alegre/RN",,nossasenhoradapenharn@gmail.com,Matriz,
Paróquia de Nossa Senhora das Dores,Centro,Brejinho,Vicariato Sul 1,18º Zonal,Dom: 08:00 | Dom: 19:30 ,"1ª sexta-feira do mês, 19h. Dia 15, 19h — missa do devoto da Virgem Dolorosa.","Av. Antônio Alves Pessoa, 316, Centro - 59219-000, Brejinho/RN",(84) 3283-2385 / 99458-2002,pnsd.brejinho@gmail.com,Matriz,
São José,,Brejinho,Vicariato Sul 1,18º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora das Dores,
Santana,,Brejinho,Vicariato Sul 1,18º Zonal,Sáb: 19:30,,,,,Pertence a matriz de Paróquia de Nossa Senhora das Dores,
Área Pastoral do Sagrado Coração de Jesus,Laranjeiras do Abdias,São José de Mipibu,Vicariato Sul 1,18º Zonal,Dom: 19:00,"1ª sexta-feira do mês, 19h","Rua São José, 65, Laranjeiras do Abdias - São José de Mipibu/RN",(84) 99466-1892,areapastoralscj@gmail.com,Matriz,
Área Pastoral Nossa Senhora Aparecida,Bosque das Colinas,São José de Mipibu,Vicariato Sul 1,18º Zonal,Qui: 19:30 | Sáb: 07:00 | Dom: 19:00,,"Rua Gregório de Matos, s/n. Bosque das colinas, São José do Mipibu /RN",(84) 98733-9162,pqnsaparecidabc@gmail.com,Matriz,
Paróquia de Nossa Senhora de Lourdes,Centro,Campo Redondo,Vicariato Sul 2,9º Zonal,"Ter, Dom: 19:00",,"Rua Nossa Senhora de Lourdes, 49, Centro - 59230-000, Campo Redondo/RN",(84) 98855-3407,,Matriz,
São Francisco de Assis,,Campo Redondo,Vicariato Sul 2,9º Zonal,"Qui, Sáb: 19:00",,,,,Pertence a matriz de Paróquia de Nossa Senhora de Lourdes,
Paróquia de Nossa Senhora do Amparo,Centro,Coronel Ezequiel,Vicariato Sul 2,9º Zonal,Dom: 08:00 | Dom: 19:00,"1ª sexta-feira do mês, 19h. Todo dia 29, 19h.","Praça José Pedro de Farias, 172, Centro - 59200-000, Coronel Ezequiel/RN",,paroquiadenossasenhoradoamparo@gmail.com,Matriz,
Nossa Senhora de Fátima - Jaçanã,,Coronel Ezequiel,Vicariato Sul 2,9º Zonal,Dom: 17:00,"1ª Sexta-feira do mês, 17h",,,,Pertence a matriz de Paróquia de Nossa Senhora do Amparo,
São José- Jaçanã,,Coronel Ezequiel,Vicariato Sul 2,9º Zonal,Sáb: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora do Amparo,
Paróquia de Santa Rita de Cássia,Centro,Santa Cruz,Vicariato Sul 2,9º Zonal,"Ter, Qua, Qui, Sex: 18:00 | Sáb: 10:00 | Dom: 07:00 | Dom: 19:00",,"Praça Presidente Vargas, 80, Centro - 59200-000, Santa Cruz/RN",(84) 98810-2112,,Matriz,
Santuário de Santa Rita,,Santa Cruz,Vicariato Sul 2,9º Zonal,Dom: 10:00 | Sáb: 11:00 | Qua: 16:00,,,,,Pertence a matriz de Paróquia de Santa Rita de Cássia,
Paróquia de Santa Teresinha,Centro,Tangará,Vicariato Sul 2,9º Zonal,Dom: 07:00 | Dom: 19:00 | Qua: 19:00,"Último domingo do mês, 9h30 — Missa das crianças.","Praça Major Lula Gomes, 54, Centro - 59240-000, Tangará/RN",(84) 99802-0053,psteresinhatangara@hotmail.com,Matriz,
"São Sebastião, Mártir",,Tangará,Vicariato Sul 2,9º Zonal,Dom: 16:30,,,,,Pertence a matriz de Paróquia de Santa Teresinha,
Área Pastoral de São Sebastião,Centro,Sítio Novo,Vicariato Sul 2,9º Zonal,Dom: 19:00,,"Rua Sebastião Ferreira de Lima, 100, Centro - 59440-000, Sítio Novo/RN",,,Matriz,
Paróquia de São Sebastião,Centro,Japi,Vicariato Sul 2,9º Zonal,"Dom: 08:00 | Dom: 16:30 | Dom: 19:30 | Ter, Qua, Qui, Sex: 19:00",,"Rua Manoel Medeiros, s/n, Centro - 59213-000, Japi/RN",,,Matriz,
Capela São Sebastião,,Japi,Vicariato Sul 2,9º Zonal,Sáb: 19:00,,,,,Pertence a matriz de Paróquia de São Sebastião,
Paróquia de Nossa Senhora da Conceição,Centro,São Tomé,Vicariato Sul 2,10º Zonal,Qui: 18:00 | Sáb: 08:30 | Dom: 19:00 | Dom: 07:00,,"Rua Ladislau Galvão, 99, Centro - 59400-000, São Tomé/RN",,paroquiasaotome@hotmail.com,Matriz,
Paróquia de Nossa Senhora da Conceição,Centro,Serra Caiada,Vicariato Sul 2,10º Zonal,Qui: 19:00 | Dom: 19:00 | Dom: 19:30,,"Rua Nossa Senhora da Conceição, 58, Centro - 59245-000, Serra Caiada/RN",(84) 98648-0403,,Matriz,
Nossa Senhora de Lourdes e São José,,Serra Caiada,Vicariato Sul 2,10º Zonal,Dom: 17:00 | Qua: 19:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora da Conceição,
Paróquia de Nossa Senhora do Perpétuo Socorro,Centro,Barcelona,Vicariato Sul 2,10º Zonal, Dom: 07:00 | Dom: 19:00,,"Rua Vereador Romário Jatércio Neves, 11, Centro - 59410-000, Barcelona/RN",(84) 98151-3249,pppsocorro@gmail.com,Matriz,
São João batista,,Barcelona,Vicariato Sul 2,10º Zonal,Dom: 17:00,,,,,Pertence a matriz de Paróquia de Nossa Senhora do Perpétuo Socorro,
Paróquia de São Paulo Apóstolo,Centro,São Paulo do Potengi,Vicariato Sul 2,10º Zonal,Dom: 08:00 | Dom: 19:30 | Sáb: 19:00,,"Rua Dom Marcolino, 318, Centro - 59460-000, São Paulo do Potengi/RN",(84) 99159-4468,,Matriz,
Nossa Senhora da Conceição,,São Paulo do Potengi,Vicariato Sul 2,10º Zonal,Dom: 19:30,,,,,Pertence a matriz de Paróquia de São Paulo Apóstolo,
Paróquia de São Pedro Apóstolo,Centro,São Pedro,Vicariato Sul 2,10º Zonal,"Qui, Sex, Dom: 19:00 | Dom: 07:00",,"Av. Francisco Cabral, 163, Centro - 59480-000, São Pedro/RN",(84) 98830-8485,paroquiasaopedroapostolosprn@yahoo.com.br,Matriz,
Paróquia do Sagrado Coração de Jesus,Centro,Bom Jesus,Vicariato Sul 2,10º Zonal,Dom: 07:00 | Dom: 18:30,,"Rua Pedro Belarmino, 18, Centro - 59270-000, Bom Jesus/RN",(84) 98715-6527,,Matriz,
Santa Rita,,Bom Jesus,Vicariato Sul 2,10º Zonal,Sáb: 19:00,,,,,Pertence a matriz da Paróquia do Sagrado Coração de Jesus - Bom Jesus,
Paróquia do Sagrado Coração de Jesus,Centro,Riachuelo,Vicariato Sul 2,10º Zonal,"Qua, Qui, Sex, Dom: 19:00",,"Praça Manoel Severiano, 129, Centro - 59470-000, Riachuelo/RN",(84) 99844-3940,,Matriz,
Mirante de São Francisco de Assis,,Riachuelo,Vicariato Sul 2,10º Zonal,Dom: 10:00,,,,,Pertence a matriz da Paróquia do Sagrado Coração de Jesus - Riachuelo,
Paróquia da Imaculada Conceição,Centro,Nova Cruz,Vicariato Sul 3,8º Zonal,"Dom: 19:00 | Ter, Qua, Sex, Dom: 08:00","1ª sexta-feira, 17h30 — votiva ao Sagrado Coração. 4º sábado, 9h — missa das crianças.","Rua Diógenes da Cunha Lima, 11, Centro - 59215-000, Nova Cruz/RN",(84) 99401-6391,,Matriz,
São Sebastião,,Nova Cruz,Vicariato Sul 3,8º Zonal,"Seg, Qui, Sex: 08:00 | Sáb: 16:00",1ª Sexta-feira e 1º Sábado do mês,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Nossa Senhora da Piedade,,Nova Cruz,Vicariato Sul 3,8º Zonal,Sáb: 18:00,1º e 3º Sábado,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Mãe Rainha,,Nova Cruz,Vicariato Sul 3,8º Zonal,Sáb: 19:30,1º e 3º Sábado,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Santa Maria Goretti,,Nova Cruz,Vicariato Sul 3,8º Zonal,Sáb: 19:30,2º e 4º Sábado,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Santa Luzia,,Nova Cruz,Vicariato Sul 3,8º Zonal,Sáb: 18:00,4º Sábado do mês,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Sagrada Família,,Nova Cruz,Vicariato Sul 3,8º Zonal,Sáb: 18:00,2º Sábado do mês,,,,Pertence a matriz de Paróquia da Imaculada Conceição,
Paróquia de Nossa Senhora de Fátima,Centro,Passa e Fica,Vicariato Sul 3,8º Zonal,"Ter, Qua, Qui, Sex: 19:00 | Dom: 08:00 | Dom: 19:30","Dia 13, 12h — missa votiva a Nossa Senhora de Fátima.","Rua Antônio Soares, 549, Centro - 59218-000, Passa e Fica/RN",(84) 98718-2965,,Matriz,
Paróquia de Santa Teresinha,Centro,Lagoa D'Anta,Vicariato Sul 3,8º Zonal,"Qua, Qui, Sex, Dom: 19:00 | Dom: 10:00 ",,"Rua da Matriz, 07, Centro - 59227-000, Lagoa D'Anta/RN",,paroquiastld@outlook.com,Matriz,
Paróquia de São Bento Abade,Centro,Serra de São Bento,Vicariato Sul 3,8º Zonal,"Ter, Qua, Qui, Sex: 19:00 | Dom: 08:00 | Dom: 19:30",,"Praça Salviano Gomes Crisanto, s/n, Centro - 59214-000, Serra de São Bento/RN",(84) 3289-0112,,Matriz,
São Sebastião,,Serra de São Bento,Vicariato Sul 3,8º Zonal,"Dom, Qua, Sex: 17:00",,,,,Pertence a matriz de Paróquia de São Bento Abade,
Paróquia de São João Batista,Centro,Montanhas,Vicariato Sul 3,8º Zonal,"Dom, Qua, Qui, Sex: 19:00 | Dom: 08:00 ",,"Rua Esportiva, 16, Centro - 59198-000, Montanhas/RN",(84) 93300-3218,paroquiasjb@gmail.com,Matriz,
Paróquia de São José,Centro,São José de Campestre,Vicariato Sul 3,8º Zonal,Sex: 09:00 | Sáb: 06:30 | Dom: 07:00 | Dom: 19:00,"1ª Sexta-feira do mês, 17h. Dia 19 missa votivas, 19h.","Praça São José, 33, Centro - 59275-000, São José de Campestre/RN",(84) 99947-0936,paroquiasaojosecampestre@hotmail.com,Matriz,
Paróquia de Nossa Senhora da Conceição,Centro,Santo Antônio,Vicariato Sul 3,19º Zonal,Qui: 19:00 | Dom: 19:00 | Dom: 17:00 | Dom: 07:00,,"Av. Lindolfo Gomes Vidal, 100, Centro - 59255-000, Santo Antônio/RN",,sapnsconceicao@gmail.com,Matriz,
Paróquia de São Pedro Apóstolo,Centro,Várzea,Vicariato Sul 3,19º Zonal,"Qua, Sex: 19:00 | Dom: 19:30",,"Rua Dep. José Lúcio Ribeiro, 01, Centro - 59185-000, Várzea/RN",(84) 98702-5903,,Matriz,
Paróquia de Santo Antônio,Centro,Serrinha,Vicariato Sul 3,19º Zonal,Qua: 19:00 | Dom: 07:00 | Dom: 19:00,"Dia 29, 19h30 — votiva a São Miguel Arcanjo.","Rua Manoel Joaquim de Souza, 30, Centro - Serrinha/RN",(84) 98611-9695,,Matriz,
Paróquia de São Francisco de Assis,Centro,Lagoa de Pedras,Vicariato Sul 3,19º Zonal,Qui: 19:30 | Dom: 07:30 | Dom: 19:30,,"Rua Coronel Francisco Tomás, s/n, Centro - 59244-000, Lagoa de Pedras/RN",(84) 3692-0120,,Matriz,
Paróquia da Imaculada Conceição,Centro,Lagoa Salgada,Vicariato Sul 3,19º Zonal,Dom: 07:00 | Dom: 19:00,,"Praça João Tomaz, s/n, Centro - 59247-000, Lagoa Salgada/RN",(84) 98866-1546,,Matriz,
Paróquia Nossa Senhora da Saúde,Centro,Boa Saúde,Vicariato Sul 3,19º Zonal,Dom: 08:00 | Dom: 19:00 | Qua: 19:00,,"Rua Dr. Mário Câmara, 18, Centro - 59260-000, Boa Saúde/RN",,matrizdenossasenhoradasaude@hotmail.com,Matriz,
